propertyId,title,description,propertyType,rentalPrice,address,bedrooms,bathrooms,propertyImages,status
property_28,0od71wiv8qbcp40,A beautiful Condo located in a prime area. ID: bf9cb.,House,2687,"986 Main St, Riverside",2,1,url/img_2vski.jpg,Maintenance
property_29,t6f0k9qfelp3zbh,A beautiful Villa located in a prime area. ID: gk87h.,Villa,4082,"413 Oak Ave, Northport",5,2,url/img_qpl5t.jpg,Available
property_30,12b9m4dq1zd2vj6,A beautiful Condo located in a prime area. ID: 8w5av.,House,1834,"454 Pine Ln, Riverside",4,3,url/img_hqsvq.jpg,Rented
property_31,l40iuc7h1dtlmzb,A beautiful Condo located in a prime area. ID: kfi45.,House,3356,"283 Maple Ct, Northport",1,2,url/img_b89vk.jpg,Rented
property_32,0cqvbxf0jkdwkj6,A beautiful House located in a prime area. ID: odqzg.,House,2347,"108 Main St, Springfield",4,3,url/img_oz2yj.jpg,Maintenance
property_33,ws24vloynku7vwr,A beautiful Condo located in a prime area. ID: 7ykx5.,Apartment,4101,"555 Oak Ave, Metroville",5,2,url/img_fpnug.jpg,Available
property_34,k0pzkygtr6yuz93,A beautiful Villa located in a prime area. ID: ff87c.,Villa,1190,"717 Maple Ct, Metroville",5,1,url/img_9p1s4.jpg,Available
property_35,h7kfrf5buoalajr,A beautiful Condo located in a prime area. ID: lpwxo.,Apartment,2815,"468 Main St, Northport",3,2,url/img_d55ag.jpg,Maintenance
property_36,wntqnk9m2iht3h9,A beautiful Condo located in a prime area. ID: q42zl.,House,4340,"969 Elm Rd, Riverside",1,1,url/img_0biyh.jpg,Rented
property_37,96uyeqhr8iu0va4,A beautiful Condo located in a prime area. ID: u0ch9.,House,3292,"788 Maple Ct, Northport",4,2,url/img_rru18.jpg,Rented
property_38,21qqx60kzevec19,A beautiful House located in a prime area. ID: clqyg.,Villa,3720,"871 Maple Ct, Springfield",3,2,url/img_6zq4q.jpg,Rented
property_39,imolmu18jza8m6k,A beautiful Villa located in a prime area. ID: n1njp.,House,1963,"220 Elm Rd, Springfield",2,1,url/img_60q13.jpg,Rented
property_40,pk6fmgfw6t2973y,A beautiful House located in a prime area. ID: oihut.,Condo,4469,"213 Oak Ave, Northport",1,3,url/img_iadn9.jpg,Maintenance
property_41,a03rf4jkdveiow9,A beautiful Apartment located in a prime area. ID: pu7ds.,House,1136,"547 Pine Ln, Riverside",2,3,url/img_sxnqj.jpg,Rented
property_42,8fbppq137q3ytn1,A beautiful House located in a prime area. ID: nf4kz.,Villa,4049,"266 Pine Ln, Metroville",1,2,url/img_nxyrf.jpg,Rented
property_43,r4kultqkdvr3hpe,A beautiful Villa located in a prime area. ID: lcdzn.,House,4486,"856 Maple Ct, Metroville",1,3,url/img_opw9t.jpg,Rented
property_44,ndqist21uamuy7t,A beautiful Condo located in a prime area. ID: tfda2.,Condo,3905,"235 Main St, Riverside",5,1,url/img_9vmme.jpg,Maintenance
property_45,gx2muebay0900hv,A beautiful Villa located in a prime area. ID: dpky3.,Condo,2324,"745 Main St, Springfield",4,1,url/img_9mugp.jpg,Rented
property_46,ena1e6arbz7hhd3,A beautiful Villa located in a prime area. ID: 61cex.,Villa,3657,"277 Main St, Metroville",5,2,url/img_lvvw4.jpg,Maintenance
property_47,fqg6sw0cz88426f,A beautiful House located in a prime area. ID: f5d6d.,Villa,1616,"852 Pine Ln, Northport",4,2,url/img_a7wd6.jpg,Rented
property_48,ahigwusgiby1sks,A beautiful Villa located in a prime area. ID: uwaje.,Villa,1071,"581 Elm Rd, Metroville",5,2,url/img_ywxd8.jpg,Maintenance
property_49,jdv4qvgf0rk2wo6,A beautiful Condo located in a prime area. ID: br6ab.,Apartment,2761,"984 Pine Ln, Riverside",2,3,url/img_67yni.jpg,Maintenance
property_50,l05x66rficlygtp,A beautiful House located in a prime area. ID: kid4t.,Villa,2222,"533 Pine Ln, Springfield",5,1,url/img_jc32r.jpg,Available
property_51,zputw9i9sglw2i1,A beautiful Condo located in a prime area. ID: 53i6l.,Villa,1010,"541 Main St, Springfield",1,1,url/img_oicv3.jpg,Maintenance
property_52,vmh65vsl90vdscs,A beautiful Villa located in a prime area. ID: z4401.,House,2360,"935 Pine Ln, Metroville",2,1,url/img_o88dm.jpg,Rented
property_53,9jz7kqcy3hx7kx0,A beautiful House located in a prime area. ID: nc654.,Condo,4161,"555 Maple Ct, Northport",4,1,url/img_k1djy.jpg,Maintenance
property_54,u349m50njezg087,A beautiful House located in a prime area. ID: isxik.,House,3656,"252 Main St, Riverside",5,3,url/img_bfygb.jpg,Available
property_55,sw8q19hk0vyr4d0,A beautiful House located in a prime area. ID: dz4ax.,Apartment,2520,"510 Maple Ct, Springfield",5,2,url/img_tdcud.jpg,Rented
property_56,rrwfpel5tjmhsh1,A beautiful House located in a prime area. ID: h0wz5.,Condo,4113,"627 Pine Ln, Metroville",1,3,url/img_9exkj.jpg,Rented
property_57,hav7jfpv8djbfon,A beautiful Condo located in a prime area. ID: 5cpxw.,Condo,4563,"680 Main St, Northport",1,1,url/img_np9m0.jpg,Maintenance
property_58,6brkvw6v3xiubvi,A beautiful Apartment located in a prime area. ID: 8dgcy.,Apartment,4988,"657 Main St, Springfield",1,3,url/img_54ujs.jpg,Available
property_59,hjb26jtkmobkksq,A beautiful Villa located in a prime area. ID: lyfo7.,House,2330,"485 Maple Ct, Springfield",1,3,url/img_ajoun.jpg,Maintenance
property_60,qdc5lzmw9lvenss,A beautiful Villa located in a prime area. ID: gr0ge.,House,1181,"422 Oak Ave, Riverside",5,2,url/img_5q23i.jpg,Rented
property_61,exs04cpkpumz61g,A beautiful Condo located in a prime area. ID: 4a1my.,Condo,2922,"615 Main St, Northport",5,1,url/img_gqe4b.jpg,Available
property_62,5wctr0fiqfojveu,A beautiful Apartment located in a prime area. ID: rz3ff.,Apartment,3731,"841 Pine Ln, Metroville",1,2,url/img_zg4ap.jpg,Available
property_63,u5do3wsolly4om7,A beautiful Condo located in a prime area. ID: lml9u.,Apartment,1622,"522 Elm Rd, Riverside",5,2,url/img_ap3ap.jpg,Available
property_64,50fjhcu0ybuflv4,A beautiful Condo located in a prime area. ID: yknu5.,Apartment,2513,"548 Elm Rd, Northport",1,3,url/img_1mltz.jpg,Rented
property_65,a3c9sgvv79tk1w6,A beautiful House located in a prime area. ID: 3w912.,Apartment,2637,"304 Main St, Northport",1,3,url/img_1kad5.jpg,Available
property_66,4ic1rr507c6czk4,A beautiful Condo located in a prime area. ID: drrd2.,Condo,2183,"605 Pine Ln, Metroville",2,3,url/img_mkrcq.jpg,Rented
property_67,elyoh420n3137en,A beautiful Condo located in a prime area. ID: fivwv.,Villa,4737,"201 Oak Ave, Northport",2,2,url/img_yg7le.jpg,Rented
property_68,brtv9qfetvp34to,A beautiful Condo located in a prime area. ID: pbara.,Apartment,2035,"393 Pine Ln, Metroville",4,3,url/img_2smgu.jpg,Rented
property_69,lqo3n4jjc0wqrj2,A beautiful Villa located in a prime area. ID: zc85b.,Condo,4641,"713 Maple Ct, Springfield",3,2,url/img_pit2l.jpg,Available
property_70,63i002suqgvtgbt,A beautiful Apartment located in a prime area. ID: kaay1.,Villa,3810,"760 Main St, Northport",2,1,url/img_c4xh6.jpg,Maintenance
property_71,wp5jlfme9294nz6,A beautiful Apartment located in a prime area. ID: tvmco.,House,4838,"333 Oak Ave, Springfield",3,3,url/img_am5ad.jpg,Maintenance
property_72,z1kydjj7haldrp4,A beautiful Apartment located in a prime area. ID: eeoom.,Condo,3677,"849 Pine Ln, Springfield",5,1,url/img_up9u4.jpg,Available
property_73,hdi44ocv7ekyrge,A beautiful Apartment located in a prime area. ID: ipemc.,Villa,2178,"530 Main St, Springfield",2,2,url/img_r2s5m.jpg,Available
property_74,phyywwgvocdht0v,A beautiful Villa located in a prime area. ID: kjkm4.,Villa,3210,"427 Pine Ln, Northport",3,1,url/img_bbbrx.jpg,Rented
property_75,rjz1co5lqeahblq,A beautiful Villa located in a prime area. ID: oo3cc.,House,3921,"949 Maple Ct, Springfield",5,2,url/img_116dt.jpg,Rented
property_76,ymu2fkxwal9n0du,A beautiful Condo located in a prime area. ID: qkk6c.,Villa,3757,"886 Oak Ave, Springfield",2,2,url/img_uaopq.jpg,Rented
property_77,kvdzxxu1lvfmanh,A beautiful Condo located in a prime area. ID: gjply.,Condo,3143,"913 Elm Rd, Northport",1,3,url/img_9n7n1.jpg,Available
property_78,emg4ldfqn2wg55r,A beautiful Condo located in a prime area. ID: 0tfrv.,House,4014,"351 Maple Ct, Metroville",2,2,url/img_vkb1a.jpg,Rented
property_79,xtms2glv8uesh0u,A beautiful Condo located in a prime area. ID: gq3uu.,Condo,4382,"837 Maple Ct, Riverside",4,1,url/img_hdmkz.jpg,Rented
property_80,ebmi7hco8vjdw8x,A beautiful Villa located in a prime area. ID: twg40.,Condo,3552,"879 Elm Rd, Metroville",3,1,url/img_pbljp.jpg,Rented
property_81,u10cqlh8taun3xi,A beautiful Villa located in a prime area. ID: al4ho.,Villa,1639,"208 Elm Rd, Northport",2,3,url/img_c3izl.jpg,Available
property_82,huxm1ak1yrvfd56,A beautiful Condo located in a prime area. ID: nyict.,Condo,1868,"877 Oak Ave, Springfield",2,3,url/img_l82xp.jpg,Maintenance
property_83,ihxrl5jrpax5bkq,A beautiful Condo located in a prime area. ID: uz8e2.,House,4154,"147 Oak Ave, Metroville",3,3,url/img_hawai.jpg,Maintenance
property_84,u1u376omdy572hr,A beautiful House located in a prime area. ID: mfb29.,Villa,3950,"379 Pine Ln, Northport",5,3,url/img_oh94d.jpg,Available
property_85,4bxp9e2bv96rctq,A beautiful Apartment located in a prime area. ID: h6nz9.,Villa,3076,"257 Maple Ct, Northport",3,3,url/img_p86g0.jpg,Rented
property_86,r5enaws1z71few0,A beautiful Apartment located in a prime area. ID: vyygc.,Villa,2221,"359 Oak Ave, Riverside",1,1,url/img_r3jct.jpg,Rented
property_87,q3dfo4vrwh6z9di,A beautiful Villa located in a prime area. ID: qzk2j.,Condo,3294,"219 Pine Ln, Riverside",1,1,url/img_w635h.jpg,Rented
property_88,skr4bsq9spcyjb6,A beautiful Villa located in a prime area. ID: spkfu.,Apartment,1133,"497 Pine Ln, Northport",3,1,url/img_52zmz.jpg,Available
property_89,vthvqutq85b8rjc,A beautiful Apartment located in a prime area. ID: 5h698.,Villa,1496,"968 Oak Ave, Metroville",4,2,url/img_xjc6e.jpg,Rented
property_90,qh98sb2f1utykyn,A beautiful House located in a prime area. ID: zn96u.,Villa,1448,"995 Elm Rd, Metroville",2,1,url/img_3pqma.jpg,Available
property_91,zpy68cp6xhey8jf,A beautiful Villa located in a prime area. ID: x75d2.,Apartment,4300,"162 Elm Rd, Springfield",1,1,url/img_b0wbe.jpg,Maintenance
property_92,adej2erbh0h6pzt,A beautiful Apartment located in a prime area. ID: rgfji.,Condo,2910,"612 Main St, Riverside",2,1,url/img_v0yfe.jpg,Maintenance
property_93,zvypza5k2sw9gh1,A beautiful Villa located in a prime area. ID: g6lur.,Apartment,2671,"813 Pine Ln, Riverside",3,1,url/img_bkl8h.jpg,Rented
property_94,fvjm7nondjpcida,A beautiful Apartment located in a prime area. ID: 8srx0.,House,4947,"193 Main St, Riverside",3,1,url/img_2s69f.jpg,Available
property_95,5n70uaz1rkhvlau,A beautiful Villa located in a prime area. ID: ct3wm.,Apartment,4867,"155 Pine Ln, Northport",2,2,url/img_d8ry9.jpg,Rented
property_96,5ji7ndnn1m1b50o,A beautiful Villa located in a prime area. ID: urpqu.,House,2041,"861 Oak Ave, Riverside",4,3,url/img_vt6eu.jpg,Available
property_97,g5fhon4g83sufnk,A beautiful Villa located in a prime area. ID: t81va.,Condo,1916,"362 Pine Ln, Metroville",2,2,url/img_g1lpv.jpg,Rented
property_98,qrq0avkma3jxhqw,A beautiful Villa located in a prime area. ID: 2tlp2.,Villa,3076,"393 Main St, Metroville",1,1,url/img_3prg2.jpg,Rented
property_99,pjc4npyu3yfrh0b,A beautiful House located in a prime area. ID: ry6mm.,Apartment,1515,"205 Elm Rd, Riverside",3,3,url/img_jobtj.jpg,Maintenance
property_100,sfqbh4uq2lvfnv9,A beautiful Condo located in a prime area. ID: xav9j.,House,1115,"725 Pine Ln, Northport",2,3,url/img_8xdgp.jpg,Rented
